CATEGORY,FOOD ITEM,QUANTITY,UNIT,PROTEIN,NET CARBS,DIETARY FIBRE,TOTAL SUGARS,FATS,CALORIES,unit_category,Protein_Level,Carbs_Level,Fats_Level,Refined_Cluster_Description,Cluster_Number,Reverse_Cluster_Number
BEEF,"Beef, rump steak, semi-trimmed, raw",100,G,20.0,0.0,0.0,0.0,5.6,130.4,Base Units,High,Very Low,Medium,"High, Very Low, Medium",77,47
BEEF,"Beef, rump steak, semi-trimmed, grilled, no added fat",100,G,31.0,0.0,0.0,0.0,7.5,191.5,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, rump steak, untrimmed, raw",100,G,18.9,0.0,0.0,0.0,13.3,195.3,Base Units,High,Very Low,High,"High, Very Low, High",78,46
BEEF,"Beef, rump steak, untrimmed, grilled, no added fat",100,G,29.9,0.0,0.0,0.0,10.8,216.8,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, boneless, scotch fillet, lean, raw",100,G,23.8,0.0,0.0,0.0,2.8,120.4,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, boneless, scotch fillet, lean, grilled, no added fat",100,G,31.9,0.0,0.0,0.0,4.5,168.1,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, steak, boneless rump or sirloin, lean, raw",100,G,22.2,0.0,0.0,0.0,2.4,110.4,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, boneless rump or sirloin, lean, grilled, no added fat",100,G,31.2,0.0,0.0,0.0,4.1,161.7,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, steak, boneless rump or sirloin, semi-trimmed, raw",100,G,21.7,0.0,0.0,0.0,5.5,136.3,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, steak, boneless rump or sirloin, semi-trimmed, grilled, no added fat",100,G,30.4,0.0,0.0,0.0,7.0,184.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, boneless rump or sirloin, untrimmed, raw",100,G,20.2,0.0,0.0,0.0,14.3,209.5,Base Units,High,Very Low,High,"High, Very Low, High",78,46
BEEF,"Beef, steak, boneless rump or sirloin, untrimmed, grilled, no added fat",100,G,28.6,0.0,0.0,0.0,12.8,229.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, boneless, scotch fillet, semi-trimmed, raw",100,G,22.4,0.0,0.0,0.0,10.0,179.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, boneless, scotch fillet, semi-trimmed, grilled, no added fat",100,G,30.3,0.0,0.0,0.0,9.4,205.8,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, boneless, scotch fillet, untrimmed, raw",100,G,21.6,0.0,0.0,0.0,13.9,211.5,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, boneless, scotch fillet, untrimmed, grilled, no added fat",100,G,29.4,0.0,0.0,0.0,12.3,228.3,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, silverside roast, lean, raw",100,G,24.1,0.0,0.0,0.0,2.3,117.1,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, silverside roast, lean, roasted, no added fat",100,G,26.9,0.0,0.0,0.0,5.6,158.0,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, silverside roast, semi-trimmed, raw",100,G,23.6,0.0,0.0,0.0,4.5,134.9,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, silverside roast, semi-trimmed, roasted, no added fat",100,G,26.6,0.0,0.0,0.0,6.8,167.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, silverside roast, untrimmed, raw",100,G,22.8,0.0,0.0,0.0,8.7,169.5,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, silverside roast, untrimmed, roasted, no added fat",100,G,26.0,0.0,0.0,0.0,9.6,190.4,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, sirloin steak, lean, raw",100,G,24.1,0.0,0.0,0.0,1.9,113.5,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, sirloin steak, lean, grilled, no added fat",100,G,30.5,0.0,0.0,0.0,3.8,156.2,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, sirloin steak, semi-trimmed, raw",100,G,23.4,0.0,0.0,0.0,5.4,142.2,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, sirloin steak, semi-trimmed, grilled, no added fat",100,G,29.7,0.0,0.0,0.0,6.5,177.3,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, sirloin steak, untrimmed, raw",100,G,21.4,0.0,0.0,0.0,15.3,223.3,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
BEEF,"Beef, sirloin steak, untrimmed, grilled, no added fat",100,G,27.3,0.0,0.0,0.0,14.7,241.5,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, stir-fry strips, lean, raw",100,G,27.2,0.0,0.0,0.0,2.0,126.8,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, stir-fry strips, lean, dry-fried, no added fat",100,G,30.9,0.0,0.0,0.0,3.2,152.4,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, strips, lean, casseroled, no added fat",100,G,37.5,0.0,0.0,0.0,2.8,175.2,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, stir-fry strips, untrimmed, raw",100,G,27.0,0.0,0.0,0.0,2.7,132.3,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, stir-fry strips, untrimmed, dry-fried, no added fat",100,G,30.8,0.0,0.0,0.0,3.6,155.6,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, strips, untrimmed, casseroled, no added fat",100,G,37.3,0.0,0.0,0.0,3.2,178.0,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, with bone, T-bone or blade, lean, raw",100,G,23.3,0.0,0.0,0.0,2.3,113.9,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, with bone, T-bone or blade, lean, grilled, no added fat",100,G,30.6,0.0,0.0,0.0,3.4,153.0,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, with bone, T-bone or blade, semi-trimmed, raw",100,G,22.2,0.0,0.0,0.0,7.8,159.0,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, with bone, T-bone or blade, semi-trimmed, grilled, no added fat",100,G,29.3,0.0,0.0,0.0,7.9,188.3,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, with bone, T-bone or blade, untrimmed, raw",100,G,21.2,0.0,0.0,0.0,13.2,203.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, with bone, T-bone or blade, untrimmed, grilled, no added fat",100,G,28.4,0.0,0.0,0.0,10.9,211.7,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, with bone, T-bone, lean, raw",100,G,24.4,0.0,0.0,0.0,2.0,115.6,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, with bone, T-bone, lean, grilled, no added fat",100,G,29.2,0.0,0.0,0.0,3.8,151.0,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, steak, with bone, T-bone, semi-trimmed, raw",100,G,22.8,0.0,0.0,0.0,9.4,175.8,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, with bone, T-bone, semi-trimmed, grilled, no added fat",100,G,27.5,0.0,0.0,0.0,10.0,200.0,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, steak, with bone, T-bone, untrimmed, raw",100,G,21.3,0.0,0.0,0.0,16.9,237.3,Base Units,Very High,Very Low,Very High,"Very High, Very Low, Very High",104,20
BEEF,"Beef, steak, with bone, T-bone, untrimmed, grilled, no added fat",100,G,26.3,0.0,0.0,0.0,14.5,235.7,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, topside roast, lean, raw",100,G,22.3,0.0,0.0,0.0,3.0,116.2,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, topside roast, lean, roasted, no added fat",100,G,32.7,0.0,0.0,0.0,2.8,156.0,Base Units,Very High,Very Low,Low,"Very High, Very Low, Low",101,23
BEEF,"Beef, topside roast, semi-trimmed, raw",100,G,22.0,0.0,0.0,0.0,5.0,133.0,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, topside roast, semi-trimmed, roasted, no added fat",100,G,32.1,0.0,0.0,0.0,4.7,170.7,Base Units,Very High,Very Low,Medium,"Very High, Very Low, Medium",102,22
BEEF,"Beef, topside roast, untrimmed, raw",100,G,21.3,0.0,0.0,0.0,8.6,162.6,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEEF,"Beef, topside roast, untrimmed, roasted, no added fat",100,G,31.3,0.0,0.0,0.0,7.1,189.1,Base Units,Very High,Very Low,High,"Very High, Very Low, High",103,21
BEERS,"Beer, high alcohol (5% v/v & above)",100,G,0.5,2.1,0.0,0.2,0.0,10.4,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
BEERS,"Beer, full strength (alcohol 4-4.9% v/v)",100,G,0.4,2.3,0.0,0.0,0.0,10.8,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
BEERS,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",100,G,0.3,1.0,0.0,0.0,0.0,5.2,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
BEERS,"Beer, mid-strength (alcohol 3-3.9% v/v)",100,G,0.3,2.2,0.0,0.0,0.0,10.0,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
BEERS,"Beer, light (alcohol 1-2.9% v/v)",100,G,0.2,2.2,0.0,0.0,0.0,9.6,Base Units,Very Low,Low,Very Low,"Very Low, Low, Very Low",5,119
BEETROOT,"Beetroot, fresh, purple, peeled, raw",100,G,1.9,8.4,3.5,8.4,0.1,49.1,Base Units,Low,Medium,Very Low,"Low, Medium, Very Low",35,89
BEETROOT,"Beetroot, fresh, purple, peeled, baked, no added fat",100,G,2.3,10.2,4.3,10.2,0.1,59.5,Base Units,Low,Medium,Very Low,"Low, Medium, Very Low",35,89
